buffertemp, R, Uin
56.25, 675, 415
60.5, 484, 309
60.5, 486, 310
60.5, 486, 310
60.5, 484, 309
60.38, 491, 313
55.75, 634, 393
54.75, 574, 360
55.06, 562, 353
55.06, 555, 349
55.12, 555, 349
54.75, 564, 354
54.56, 560, 352
54.5, 562, 353
54.5, 555, 349
54.81, 551, 347
54.81, 549, 346
54.56, 556, 350
54.31, 560, 352
54.12, 565, 355
53.88, 569, 357
53.56, 572, 359
53.44, 574, 360
53.31, 571, 358
53.12, 571, 358
53.12, 569, 357
53.0, 574, 360
52.81, 576, 361
52.69, 576, 361
52.5, 576, 361
52.44, 576, 361
52.38, 576, 361
52.69, 562, 353
52.31, 569, 357
52.19, 574, 360
52.25, 569, 357
52.5, 562, 353
52.38, 564, 354
51.94, 581, 364
51.75, 580, 363
49.56, 675, 415
48.44, 614, 382
48.38, 609, 379
48.31, 607, 378
48.19, 603, 376
48.25, 599, 374
48.31, 598, 373
48.38, 592, 370
48.06, 599, 374
48.06, 598, 373
47.88, 598, 373
47.75, 607, 378
47.5, 607, 378
47.38, 607, 378
47.12, 599, 374
47.0, 599, 374
46.94, 598, 373
46.81, 599, 374
46.69, 603, 376
46.56, 607, 378
46.44, 607, 378
46.31, 612, 381
46.12, 614, 382
46.0, 614, 382
45.88, 612, 381
45.75, 610, 380
45.69, 612, 381
45.69, 610, 380
45.69, 607, 378
45.69, 607, 378
45.81, 605, 377
45.69, 607, 378
45.69, 605, 377
45.81, 599, 374
44.25, 699, 428
43.19, 640, 396
43.06, 636, 394
43.0, 636, 394
42.94, 630, 391
42.88, 636, 394
42.69, 634, 393
42.56, 636, 394
42.38, 636, 394
42.25, 636, 394
